// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
12875		9.662647	0.113980	-1.590311	-0.008450	0.005221	0.001769	-0.622314	-0.253418	0.468506	-0.200539	-0.727589	0.227686	-0.615270
12876		9.622945	0.117155	-1.701197	-0.021876	-0.004049	0.000904	-0.629639	-0.251465	0.468262	-0.200719	-0.727563	0.227872	-0.615173
12877		9.587152	0.097500	-1.767323	-0.015926	-0.011737	-0.002847	-0.627686	-0.262207	0.465332	-0.200849	-0.727617	0.228000	-0.615019
12878		9.591658	0.058725	-1.804287	-0.000039	-0.008175	0.001439	-0.620361	-0.247803	0.465088	-0.200813	-0.727681	0.228036	-0.614942
12879		9.583693	0.103405	-1.830854	0.002112	-0.003068	0.005004	-0.636230	-0.249268	0.469971	-0.200737	-0.727711	0.228082	-0.614915
12880		9.579610	0.118552	-1.773465	0.008493	0.000474	0.005424	-0.628418	-0.253174	0.459473	-0.200602	-0.727744	0.228078	-0.614921
12881		9.580438	0.156837	-1.760817	-0.005814	-0.008154	0.001167	-0.621338	-0.252686	0.462646	-0.200601	-0.727835	0.228172	-0.614779
12882		9.583874	0.161675	-1.776595	-0.022611	-0.019638	-0.000944	-0.626465	-0.252686	0.462402	-0.200736	-0.727995	0.228405	-0.614458
12883		9.620662	0.067418	-1.701477	0.003334	-0.015508	0.003999	-0.625000	-0.245117	0.460449	-0.200608	-0.728196	0.228473	-0.614238
12884		9.648039	0.000534	-1.687182	-0.002091	-0.010205	0.009270	-0.628662	-0.251465	0.465332	-0.200493	-0.728332	0.228627	-0.614056
12885		9.642217	0.074454	-1.673265	-0.029834	-0.007678	0.005264	-0.627930	-0.247070	0.466797	-0.200648	-0.728395	0.228965	-0.613804
12886		9.636316	0.128946	-1.704455	-0.015031	-0.009818	-0.000032	-0.623047	-0.251953	0.466797	-0.200696	-0.728527	0.229156	-0.613561
12887		9.610328	0.092462	-1.704578	0.001515	-0.009316	0.000993	-0.619141	-0.245850	0.464600	-0.200596	-0.728697	0.229217	-0.613369
12888		9.614769	0.073905	-1.696957	-0.013058	-0.015366	0.001941	-0.623779	-0.248779	0.473145	-0.200605	-0.728866	0.229427	-0.613087
12889		9.650158	0.078997	-1.717960	-0.010076	-0.016593	0.001695	-0.625977	-0.256104	0.465820	-0.200565	-0.729081	0.229613	-0.612775
12890		9.661493	0.099397	-1.717807	-0.022511	-0.008838	0.005102	-0.624512	-0.251953	0.468018	-0.200636	-0.729186	0.229894	-0.612521
12891		9.634489	0.093386	-1.699609	-0.021919	-0.004881	0.001130	-0.619385	-0.256104	0.467041	-0.200743	-0.729273	0.230135	-0.612291
12892		9.611179	0.078773	-1.698328	-0.002024	-0.007399	0.000111	-0.618652	-0.253174	0.467529	-0.200689	-0.729419	0.230202	-0.612110
12893		9.616693	0.078347	-1.721252	0.006441	-0.008243	0.001787	-0.624268	-0.248535	0.463135	-0.200541	-0.729581	0.230234	-0.611953
12894		9.609116	0.066811	-1.774371	0.004165	-0.002282	0.001481	-0.629639	-0.250244	0.468750	-0.200418	-0.729678	0.230297	-0.611855
12895		9.605737	0.087650	-1.753206	-0.001731	-0.001599	0.005978	-0.627686	-0.253174	0.468750	-0.200281	-0.729785	0.230438	-0.611718
12896		9.636056	0.112326	-1.704691	-0.004457	-0.003329	0.005148	-0.626953	-0.254395	0.464844	-0.200182	-0.729900	0.230578	-0.611561
12897		9.612312	0.132308	-1.721011	0.005603	-0.001520	0.001480	-0.624023	-0.257568	0.466064	-0.200052	-0.730008	0.230592	-0.611470
12898		9.638773	0.075806	-1.732187	0.006755	-0.004274	0.003598	-0.627197	-0.251953	0.469971	-0.199914	-0.730135	0.230591	-0.611363
12899		9.635982	0.032581	-1.778214	-0.001914	0.002928	0.002227	-0.624268	-0.247314	0.474121	-0.199849	-0.730204	0.230658	-0.611277
12900		9.600863	0.053118	-1.750775	0.007710	0.006200	0.000856	-0.625732	-0.252686	0.473145	-0.199695	-0.730284	0.230658	-0.611231
