// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
12875		4.884591	1.055628	8.372194	0.002733	-0.005105	-0.000066	-0.628662	-0.255371	-0.359863	-0.249650	-0.265479	0.013057	-0.931142
12876		4.894247	1.059229	8.360933	0.003490	-0.006165	0.000784	-0.632324	-0.256592	-0.354980	-0.249629	-0.265561	0.013039	-0.931124
12877		4.890427	1.069868	8.368152	0.002199	-0.004738	0.000575	-0.633057	-0.263916	-0.359131	-0.249613	-0.265631	0.013029	-0.931109
12878		4.869804	1.067029	8.358038	0.002958	-0.005866	0.000726	-0.623047	-0.250488	-0.361572	-0.249594	-0.265709	0.013015	-0.931092
12879		4.894189	1.049280	8.370855	0.001892	-0.005133	0.002009	-0.641846	-0.251221	-0.357910	-0.249564	-0.265774	0.013014	-0.931082
12880		4.908609	1.044712	8.361297	0.005246	-0.004550	-0.001388	-0.634033	-0.257812	-0.365234	-0.249562	-0.265844	0.012962	-0.931063
12881		4.899731	1.062350	8.357324	0.004103	-0.005242	-0.000680	-0.625488	-0.258301	-0.364014	-0.249555	-0.265920	0.012930	-0.931043
12882		4.878733	1.059701	8.347412	0.002354	-0.001957	0.001027	-0.632080	-0.257812	-0.363037	-0.249534	-0.265955	0.012914	-0.931039
12883		4.894070	1.039341	8.371026	0.005016	-0.003587	-0.000079	-0.631592	-0.248291	-0.364990	-0.249517	-0.266017	0.012868	-0.931027
12884		4.894910	1.040643	8.370372	0.006615	-0.004620	-0.001302	-0.633789	-0.255615	-0.363281	-0.249507	-0.266095	0.012807	-0.931008
12885		4.899709	1.055205	8.366880	0.006684	-0.008026	0.000441	-0.634033	-0.251709	-0.358398	-0.249476	-0.266212	0.012764	-0.930983
12886		4.901241	1.054592	8.356257	0.004863	-0.006436	-0.001227	-0.625244	-0.256104	-0.360840	-0.249469	-0.266307	0.012734	-0.930958
12887		4.884377	1.065371	8.343389	0.005085	-0.006926	0.002366	-0.625732	-0.249023	-0.362305	-0.249424	-0.266405	0.012714	-0.930943
12888		4.895793	1.055200	8.374356	0.004477	-0.008051	0.001733	-0.627441	-0.253906	-0.354492	-0.249384	-0.266512	0.012705	-0.930923
12889		4.885843	1.034429	8.357432	0.006301	-0.009844	0.001303	-0.634033	-0.257324	-0.358643	-0.249345	-0.266652	0.012675	-0.930894
12890		4.891633	1.052634	8.372503	0.006985	-0.012531	-0.000519	-0.631104	-0.257080	-0.359131	-0.249323	-0.266821	0.012646	-0.930852
12891		4.911012	1.059953	8.349840	0.006225	-0.011268	0.000731	-0.626221	-0.257324	-0.358398	-0.249291	-0.266965	0.012626	-0.930819
12892		4.918078	1.054729	8.359642	0.006075	-0.009016	0.001213	-0.624268	-0.256836	-0.359375	-0.249260	-0.267081	0.012599	-0.930794
12893		4.911414	1.050964	8.359408	0.004784	-0.007725	-0.000397	-0.631836	-0.254150	-0.365234	-0.249255	-0.267175	0.012579	-0.930769
12894		4.914356	1.030562	8.362609	0.004025	-0.006598	-0.000548	-0.634277	-0.252930	-0.356445	-0.249238	-0.267245	0.012580	-0.930753
12895		4.927475	1.047881	8.348654	0.006309	-0.005217	-0.001966	-0.632812	-0.258545	-0.358398	-0.249220	-0.267333	0.012550	-0.930734
12896		4.901626	1.055964	8.346608	0.003649	-0.003654	-0.001560	-0.633057	-0.258057	-0.362061	-0.249223	-0.267389	0.012539	-0.930717
12897		4.910956	1.063377	8.354621	0.001897	-0.005334	-0.000082	-0.631592	-0.260742	-0.362549	-0.249214	-0.267445	0.012563	-0.930703
12898		4.900063	1.049834	8.376621	0.003039	-0.004780	-0.002192	-0.633301	-0.255127	-0.358643	-0.249239	-0.267494	0.012554	-0.930682
12899		4.922944	1.050278	8.366023	0.002962	-0.006136	-0.002064	-0.632324	-0.253662	-0.355713	-0.249238	-0.267570	0.012563	-0.930660
12900		4.927223	1.064271	8.362864	0.003194	-0.001998	-0.001746	-0.629395	-0.254883	-0.356201	-0.249228	-0.267609	0.012558	-0.930652
12901		4.912244	1.032144	8.359052	0.002357	-0.002296	-0.002471	-0.627441	-0.253174	-0.358643	-0.249245	-0.267642	0.012554	-0.930638
12902		4.915961	1.048129	8.365788	0.003271	-0.000846	-0.003974	-0.629639	-0.251221	-0.356689	-0.249274	-0.267640	0.012541	-0.930631
12903		4.907538	1.040613	8.347445	0.003044	0.000050	-0.003367	-0.630615	-0.254883	-0.358398	-0.249276	-0.267642	0.012539	-0.930630
12904		4.915601	1.046375	8.346590	0.002361	0.002670	-0.002247	-0.626709	-0.257324	-0.356934	-0.249284	-0.267603	0.012530	-0.930639
12905		4.910001	1.055481	8.345237	0.001829	0.002764	-0.004406	-0.627686	-0.259277	-0.366455	-0.249352	-0.267563	0.012502	-0.930633
12906		4.917615	1.063396	8.354189	0.003808	0.003684	-0.005091	-0.633301	-0.254150	-0.359131	-0.249438	-0.267453	0.012453	-0.930642
12907		4.904850	1.044913	8.348487	0.002971	0.003386	-0.005815	-0.630859	-0.245850	-0.360596	-0.249460	-0.267418	0.012432	-0.930646
12908		4.915829	1.069934	8.374039	0.003808	0.003684	-0.005090	-0.630127	-0.264404	-0.355957	-0.249415	-0.267354	0.012445	-0.930677
12909		4.889856	1.052897	8.357993	0.002894	0.002098	-0.004986	-0.633057	-0.263184	-0.370605	-0.249529	-0.267359	0.012361	-0.930646
12910		4.907651	1.040574	8.350895	0.003426	0.001867	-0.004227	-0.629639	-0.252686	-0.357666	-0.249617	-0.267246	0.012315	-0.930655
12911		4.885480	1.046188	8.379930	0.004719	0.000374	-0.004715	-0.631836	-0.252686	-0.367920	-0.249616	-0.267251	0.012287	-0.930654
12912		4.900494	1.076881	8.364234	0.004795	0.001868	-0.003443	-0.634521	-0.258301	-0.359619	-0.249595	-0.267144	0.012284	-0.930691
12913		4.893407	1.050103	8.359763	0.003806	-0.001145	-0.003911	-0.629150	-0.254395	-0.365479	-0.249610	-0.267171	0.012250	-0.930680
12914		4.893662	1.049732	8.349850	0.006772	-0.002040	-0.002949	-0.634033	-0.257812	-0.355469	-0.249610	-0.267124	0.012216	-0.930693
12915		4.894200	1.047608	8.330179	0.005859	-0.003627	-0.002845	-0.625244	-0.265381	-0.361084	-0.249594	-0.267231	0.012162	-0.930668
12916		4.916550	1.056244	8.358113	0.005630	-0.002662	-0.001540	-0.629639	-0.249756	-0.356445	-0.249740	-0.267225	0.012055	-0.930632
12917		4.921924	1.049244	8.359352	0.004033	-0.001835	-0.002417	-0.630371	-0.255127	-0.359375	-0.249655	-0.267264	0.012076	-0.930643
12918		4.895421	1.057324	8.357674	0.005174	-0.001144	-0.003126	-0.627930	-0.259766	-0.363037	-0.249643	-0.267273	0.012048	-0.930644
12919		4.892252	1.047293	8.369531	0.003728	-0.002227	-0.000983	-0.639160	-0.256592	-0.366455	-0.249704	-0.267235	0.012014	-0.930639
12920		4.901035	1.049274	8.349095	0.003500	-0.001468	-0.001776	-0.633057	-0.254883	-0.355225	-0.249627	-0.267205	0.012036	-0.930668
12921		4.898045	1.037238	8.351291	0.004489	-0.003490	-0.002228	-0.633057	-0.260986	-0.368896	-0.249565	-0.267311	0.012025	-0.930654
12922		4.897140	1.058028	8.336948	0.005630	-0.002730	-0.002238	-0.632812	-0.258789	-0.362305	-0.249614	-0.267233	0.011982	-0.930664
12923		4.911000	1.059724	8.356332	0.004261	-0.002594	-0.001622	-0.629150	-0.250488	-0.362061	-0.249616	-0.267236	0.011959	-0.930663
12924		4.911355	1.058783	8.346427	0.002968	-0.001170	-0.001836	-0.631348	-0.257812	-0.360352	-0.249536	-0.267182	0.012012	-0.930700
12925		4.902980	1.058905	8.366366	0.004414	-0.000157	-0.004678	-0.631836	-0.259033	-0.361572	-0.249571	-0.267175	0.011968	-0.930692
12926		4.912886	1.045652	8.379077	0.003273	-0.000847	-0.003968	-0.629395	-0.251953	-0.357422	-0.249617	-0.267160	0.011935	-0.930685
12927		4.916316	1.056101	8.357185	0.003881	0.000349	-0.002639	-0.637207	-0.254639	-0.359131	-0.249544	-0.267164	0.011949	-0.930703
12928		4.897799	1.070989	8.364357	0.004718	0.000373	-0.004712	-0.625977	-0.253662	-0.369385	-0.249445	-0.267209	0.011943	-0.930717
12929		4.897450	1.070560	8.354800	0.003425	0.001727	-0.005625	-0.633789	-0.252441	-0.353271	-0.249525	-0.266981	0.011962	-0.930761
12930		4.888471	1.066862	8.355948	0.002359	0.002531	-0.003647	-0.629883	-0.258057	-0.359619	-0.249395	-0.267064	0.011974	-0.930772
12931		4.906406	1.058097	8.367976	0.002512	0.000347	-0.003422	-0.632324	-0.253906	-0.360107	-0.249441	-0.267048	0.011945	-0.930764
12932		4.889422	1.051395	8.379432	0.003882	0.000211	-0.004037	-0.629639	-0.255371	-0.355225	-0.249380	-0.267040	0.011952	-0.930783
12933		4.889205	1.054651	8.388960	0.004186	0.000740	-0.004071	-0.628662	-0.253418	-0.361328	-0.249363	-0.267091	0.011914	-0.930773
12934		4.883787	1.060391	8.368262	0.003196	0.002624	-0.005020	-0.621826	-0.253662	-0.361084	-0.249366	-0.266996	0.011923	-0.930799
12935		4.884960	1.034445	8.343894	0.003045	0.000049	-0.003362	-0.624756	-0.263672	-0.358398	-0.249457	-0.266877	0.011928	-0.930809
12936		4.896720	1.057593	8.359326	0.004948	-0.000454	-0.004615	-0.625488	-0.255371	-0.361084	-0.249695	-0.266870	0.011793	-0.930749
12937		4.891605	1.067320	8.357565	0.004186	0.000741	-0.004070	-0.616943	-0.257324	-0.355469	-0.249746	-0.266784	0.011771	-0.930760
12938		4.884496	1.042373	8.362793	0.003349	0.000509	-0.004095	-0.630615	-0.260986	-0.361816	-0.249952	-0.266730	0.011701	-0.930721
12939		4.896376	1.061484	8.359035	0.002667	-0.001906	-0.003895	-0.625977	-0.256836	-0.362793	-0.250048	-0.266718	0.011660	-0.930699
12940		4.893156	1.045849	8.342235	0.004645	-0.001053	-0.005278	-0.634521	-0.260254	-0.355469	-0.250123	-0.266632	0.011628	-0.930704
12941		4.883198	1.069433	8.367455	0.003577	-0.000179	-0.002601	-0.625244	-0.253418	-0.358154	-0.250100	-0.266760	0.011577	-0.930674
12942		4.893007	1.052029	8.361164	0.002815	0.000946	-0.002756	-0.629150	-0.256592	-0.357666	-0.250061	-0.266714	0.011593	-0.930698
12943		4.892810	1.054940	8.370722	0.003045	0.000049	-0.003360	-0.628174	-0.255127	-0.370117	-0.250044	-0.266735	0.011579	-0.930697
12944		4.887905	1.062603	8.359281	0.005710	-0.001509	-0.003759	-0.631836	-0.264160	-0.367920	-0.250047	-0.266530	0.011594	-0.930755
12945		4.893165	1.057826	8.370151	0.004569	-0.002270	-0.003748	-0.622803	-0.251465	-0.364746	-0.250206	-0.266436	0.011521	-0.930740
12946		4.888557	1.063526	8.348970	0.004036	-0.001903	-0.003109	-0.625000	-0.260498	-0.368896	-0.250162	-0.266279	0.011568	-0.930796
12947		4.885448	1.051632	8.351268	0.004036	-0.001903	-0.003109	-0.628906	-0.256348	-0.362305	-0.250336	-0.266091	0.011533	-0.930803
12948		4.899050	1.055410	8.380360	0.004341	-0.001513	-0.004542	-0.637451	-0.251221	-0.368408	-0.250321	-0.266059	0.011522	-0.930816
12949		4.886085	1.054566	8.350526	0.006168	-0.003163	-0.003566	-0.631104	-0.258301	-0.361572	-0.250036	-0.266003	0.011593	-0.930908
12950		4.899667	1.054576	8.360485	0.003881	0.000351	-0.002636	-0.634033	-0.253418	-0.352783	-0.250019	-0.265990	0.011568	-0.930917
12951		4.886494	1.062953	8.378658	0.003962	-0.003259	-0.002977	-0.624268	-0.258545	-0.364014	-0.249786	-0.266206	0.011581	-0.930917
12952		4.888522	1.042728	8.382559	0.004036	-0.001763	-0.001710	-0.625244	-0.263428	-0.362305	-0.249904	-0.266100	0.011558	-0.930916
12953		4.883724	1.048237	8.361508	0.002742	-0.000690	-0.005420	-0.627441	-0.252197	-0.356201	-0.250161	-0.266036	0.011475	-0.930866
12954		4.877311	1.080576	8.364903	0.001296	-0.001562	-0.001181	-0.634033	-0.259277	-0.368408	-0.250006	-0.266089	0.011537	-0.930892
12955		4.887501	1.062756	8.358471	0.002437	-0.000870	-0.001891	-0.624512	-0.252441	-0.364746	-0.249985	-0.265981	0.011555	-0.930929
12956		4.892734	1.053348	8.350332	0.001830	-0.002069	-0.003217	-0.629639	-0.264160	-0.361816	-0.249957	-0.265849	0.011625	-0.930973
